#ZVView-data-copy::  19-Sep-2026 21:02:48
#=======================================
#
#name:   JENDL-4.0: TH-232(N,F) E_in=1.e-11 MeV
#X.axis: Energy
#Y.axis: 
#wdata:  3
#ldata:  352
#data...
# X               Y               +-dY           
# MeV             1/eV            1/eV           
  0.00            0.00            0.00                        
  0.8             3.85426e-7      3.43882e-8       #dY:8.9%   
  0.9             3.8048e-7       3.26839e-8       #dY:8.6%   
  1               3.72827e-7      3.20265e-8       #dY:8.6%   
  1.1             3.63002e-7      2.87566e-8       #dY:7.9%   
  1.2             3.51431e-7      2.78399e-8       #dY:7.9%   
  1.3             3.38615e-7      2.39036e-8       #dY:7.1%   
  1.4             3.24976e-7      2.29408e-8       #dY:7.1%   
  1.5             3.1084e-7       1.85823e-8       #dY:6.0%   
  1.6             2.96461e-7      1.77227e-8       #dY:6.0%   
  1.7             2.82038e-7      1.31827e-8       #dY:4.7%   
  1.8             2.67726e-7      1.25137e-8       #dY:4.7%   
  1.9             2.53644e-7      8.20653e-9       #dY:3.2%   
  2               2.39885e-7      7.76136e-9       #dY:3.2%   
  2.1             2.26519e-7      3.94656e-9       #dY:1.7%   
  2.2             2.13596e-7      3.72141e-9       #dY:1.7%   
  2.3             2.01153e-7      1.1234e-9        #dY:0.6%   
  2.4             1.89214e-7      1.05673e-9       #dY:0.6%   
  2.5             1.77794e-7      3.05902e-9       #dY:1.7%   
  2.6             1.66899e-7      2.87157e-9       #dY:1.7%   
  2.7             1.56529e-7      5.31615e-9       #dY:3.4%   
  2.8             1.4668e-7       4.98165e-9       #dY:3.4%   
  2.9             1.37343e-7      7.04579e-9       #dY:5.1%   
  3               1.28507e-7      6.5925e-9        #dY:5.1%   
  3.1             1.20157e-7      8.30015e-9       #dY:6.9%   
  3.2             1.12278e-7      7.75589e-9       #dY:6.9%   
  3.3             1.04852e-7      9.15282e-9       #dY:8.7%   
  3.4             9.78621e-8      8.54266e-9       #dY:8.7%   
  3.5             9.12889e-8      9.65468e-9       #dY:10.6%  
  3.6             8.5114e-8       9.00163e-9       #dY:10.6%  
  3.7             7.93184e-8      9.91379e-9       #dY:12.5%  
  3.8             7.38837e-8      9.23452e-9       #dY:12.5%  
  3.9             6.87912e-8      9.90793e-9       #dY:14.4%  
  4               6.40231e-8      9.22118e-9       #dY:14.4%  
  4.1             5.95618e-8      9.71408e-9       #dY:16.3%  
  4.2             5.53903e-8      9.03374e-9       #dY:16.3%  
  4.3             5.14921e-8      9.38084e-9       #dY:18.2%  
  4.4             4.78515e-8      8.7176e-9        #dY:18.2%  
  4.5             4.44533e-8      8.99451e-9       #dY:20.2%  
  4.6             4.12831e-8      8.35306e-9       #dY:20.2%  
  4.7             3.8327e-8       8.52807e-9       #dY:22.3%  
  4.8             3.55719e-8      7.91503e-9       #dY:22.3%  
  4.9             3.30052e-8      8.00971e-9       #dY:24.3%  
  5               3.06152e-8      7.42971e-9       #dY:24.3%  
  5.1             2.83905e-8      7.46321e-9       #dY:26.3%  
  5.2             2.63205e-8      6.91906e-9       #dY:26.3%  
  5.3             2.43953e-8      6.93182e-9       #dY:28.4%  
  5.4             2.26052e-8      6.42317e-9       #dY:28.4%  
  5.5             2.09415e-8      6.37393e-9       #dY:30.4%  
  5.6             1.93958e-8      5.90347e-9       #dY:30.4%  
  5.7             1.796e-8        5.84869e-9       #dY:32.6%  
  5.8             1.66269e-8      5.41456e-9       #dY:32.6%  
  5.9             1.53894e-8      5.33932e-9       #dY:34.7%  
  6               1.4241e-8       4.94089e-9       #dY:34.7%  
  6.1             1.31756e-8      4.85198e-9       #dY:36.8%  
  6.2             1.21875e-8      4.48811e-9       #dY:36.8%  
  6.3             1.12714e-8      4.39107e-9       #dY:39.0%  
  6.4             1.04221e-8      4.0602e-9        #dY:39.0%  
  6.5             9.63499e-9      3.96916e-9       #dY:41.2%  
  6.6             8.90573e-9      3.66874e-9       #dY:41.2%  
  6.7             8.23021e-9      3.57467e-9       #dY:43.4%  
  6.8             7.60461e-9      3.30295e-9       #dY:43.4%  
  6.9             7.02537e-9      3.20129e-9       #dY:45.6%  
  7               6.48916e-9      2.95696e-9       #dY:45.6%  
  7.1             5.99291e-9      2.86523e-9       #dY:47.8%  
  7.2             5.53372e-9      2.64569e-9       #dY:47.8%  
  7.3             5.10891e-9      2.55714e-9       #dY:50.1%  
  7.4             4.71599e-9      2.36048e-9       #dY:50.1%  
  7.5             4.35263e-9      2.28075e-9       #dY:52.4%  
  7.6             4.01667e-9      2.1047e-9        #dY:52.4%  
  7.7             3.7061e-9       2.02515e-9       #dY:54.6%  
  7.8             3.41906e-9      1.8683e-9        #dY:54.6%  
  7.9             3.1538e-9       1.79414e-9       #dY:56.9%  
  8               2.90872e-9      1.65472e-9       #dY:56.9%  
  8.1             2.68232e-9      1.58894e-9       #dY:59.2%  
  8.2             2.47321e-9      1.46507e-9       #dY:59.2%  
  8.3             2.2801e-9       1.40432e-9       #dY:61.6%  
  8.4             2.1018e-9       1.29451e-9       #dY:61.6%  
  8.5             1.93719e-9      1.23868e-9       #dY:63.9%  
  8.6             1.78525e-9      1.14152e-9       #dY:63.9%  
  8.7             1.64502e-9      1.0906e-9        #dY:66.3%  
  8.8             1.51563e-9      1.00482e-9       #dY:66.3%  
  8.9             1.39624e-9      9.58538e-10      #dY:68.7%  
