#ZVView-data-copy::  19-Sep-2026 21:09:28
#=======================================
#
#name:   JENDL-4.0: NP-237(N,F) E_in=1.e-11 MeV
#X.axis: Energy
#Y.axis: 
#wdata:  3
#ldata:  352
#data...
# X               Y               +-dY           
# MeV             1/eV            1/eV           
  0.00            0.00            0.00                        
  1.8             2.59281e-7      1.46137e-8       #dY:5.6%   
  1.9             2.47348e-7      1.03636e-8       #dY:4.2%   
  2               2.35603e-7      9.87153e-9       #dY:4.2%   
  2.1             2.24108e-7      6.11262e-9       #dY:2.7%   
  2.2             2.1291e-7       5.80719e-9       #dY:2.7%   
  2.3             2.02044e-7      2.8469e-9        #dY:1.4%   
  2.4             1.91537e-7      2.69885e-9       #dY:1.4%   
  2.5             1.81407e-7      2.31915e-9       #dY:1.3%   
  2.6             1.71665e-7      2.19461e-9       #dY:1.3%   
  2.7             1.62318e-7      4.21686e-9       #dY:2.6%   
  2.8             1.53368e-7      3.98435e-9       #dY:2.6%   
  2.9             1.44813e-7      6.06803e-9       #dY:4.2%   
  3               1.36649e-7      5.72594e-9       #dY:4.2%   
  3.1             1.28869e-7      7.56479e-9       #dY:5.9%   
  3.2             1.21465e-7      7.13017e-9       #dY:5.9%   
  3.3             1.14427e-7      8.67948e-9       #dY:7.6%   
  3.4             1.07744e-7      8.17257e-9       #dY:7.6%   
  3.5             1.01406e-7      9.45289e-9       #dY:9.3%   
  3.6             9.53983e-8      8.89286e-9       #dY:9.3%   
  3.7             8.97102e-8      9.95865e-9       #dY:11.1%  
  3.8             8.43284e-8      9.36122e-9       #dY:11.1%  
  3.9             7.92402e-8      1.02096e-8       #dY:12.9%  
  4               7.44328e-8      9.5902e-9        #dY:12.9%  
  4.1             6.98936e-8      1.02511e-8       #dY:14.7%  
  4.2             6.56103e-8      9.62287e-9       #dY:14.7%  
  4.3             6.15706e-8      1.01946e-8       #dY:16.6%  
  4.4             5.77627e-8      9.56412e-9       #dY:16.6%  
  4.5             5.41751e-8      9.93787e-9       #dY:18.3%  
  4.6             5.07967e-8      9.31814e-9       #dY:18.3%  
  4.7             4.76166e-8      9.6365e-9        #dY:20.2%  
  4.8             4.46245e-8      9.03097e-9       #dY:20.2%  
  4.9             4.18103e-8      9.2532e-9        #dY:22.1%  
  5               3.91646e-8      8.66767e-9       #dY:22.1%  
  5.1             3.66781e-8      8.81231e-9       #dY:24.0%  
  5.2             3.4342e-8       8.25104e-9       #dY:24.0%  
  5.3             3.2148e-8       8.33351e-9       #dY:25.9%  
  5.4             3.00881e-8      7.79953e-9       #dY:25.9%  
  5.5             2.81547e-8      7.86134e-9       #dY:27.9%  
  5.6             2.63405e-8      7.35478e-9       #dY:27.9%  
  5.7             2.46386e-8      7.34739e-9       #dY:29.8%  
  5.8             2.30427e-8      6.87149e-9       #dY:29.8%  
  5.9             2.15463e-8      6.85682e-9       #dY:31.8%  
  6               2.01437e-8      6.41046e-9       #dY:31.8%  
  6.1             1.88293e-8      6.36926e-9       #dY:33.8%  
  6.2             1.75979e-8      5.95272e-9       #dY:33.8%  
  6.3             1.64444e-8      5.8753e-9        #dY:35.7%  
  6.4             1.53642e-8      5.48936e-9       #dY:35.7%  
  6.5             1.43528e-8      5.43065e-9       #dY:37.8%  
  6.6             1.34061e-8      5.07245e-9       #dY:37.8%  
  6.7             1.252e-8        4.9885e-9        #dY:39.8%  
  6.8             1.16909e-8      4.65815e-9       #dY:39.8%  
  6.9             1.09152e-8      4.56781e-9       #dY:41.8%  
  7               1.01896e-8      4.26416e-9       #dY:41.8%  
  7.1             9.51106e-9      4.17107e-9       #dY:43.9%  
  7.2             8.87655e-9      3.89281e-9       #dY:43.9%  
  7.3             8.28335e-9      3.80782e-9       #dY:46.0%  
  7.4             7.72885e-9      3.55291e-9       #dY:46.0%  
  7.5             7.21062e-9      3.46694e-9       #dY:48.1%  
  7.6             6.72634e-9      3.2341e-9        #dY:48.1%  
  7.7             6.27387e-9      3.14261e-9       #dY:50.1%  
  7.8             5.85118e-9      2.93089e-9       #dY:50.1%  
