#ZVView-data-copy::  16-Sep-2026 17:11:29
#=======================================
#
#name:   INDEN-Aug2023: PU-239(N,F) E_in=1.e-11 MeV
#X.axis: Energy
#Y.axis: 
#wdata:  3
#ldata:  642
#data...
# X               Y               +-dY           
# MeV             1/eV            1/eV           
  0.00            0.00            0.00                        
  2.70e-3         3.156447e-8     3.68613e-6       #dY:11678.1
  2.80e-3         3.214307e-8     3.7537e-6        #dY:11678.1
  2.90e-3         3.271139e-8     3.82007e-6       #dY:11678.1
  3.00e-3         3.326999e-8     3.8853e-6        #dY:11678.1
  3.10e-3         3.381927e-8     3.94945e-6       #dY:11678.1
  3.20e-3         3.435972e-8     4.01256e-6       #dY:11678.1
  3.30e-3         3.489176e-8     4.0747e-6        #dY:11678.1
  3.40e-3         3.541579e-8     4.13589e-6       #dY:11678.1
  3.50e-3         3.593207e-8     4.19618e-6       #dY:11678.1
  3.60e-3         3.644103e-8     4.25562e-6       #dY:11678.1
  3.70e-3         3.694283e-8     4.31422e-6       #dY:11678.1
  3.80e-3         3.743797e-8     4.37205e-6       #dY:11678.1
  3.90e-3         3.792655e-8     4.4291e-6        #dY:11678.1
  4.00e-3         3.84089e-8      4.48543e-6       #dY:11678.1
  4.10e-3         3.888516e-8     4.54105e-6       #dY:11678.1
  4.20e-3         3.935564e-8     4.59599e-6       #dY:11678.1
  4.30e-3         3.982048e-8     4.65028e-6       #dY:11678.1
  4.40e-3         4.02799e-8      4.70393e-6       #dY:11678.1
  4.50e-3         4.073411e-8     4.75697e-6       #dY:11678.1
  4.60e-3         4.118328e-8     4.80943e-6       #dY:11678.1
  4.70e-3         4.162753e-8     4.86131e-6       #dY:11678.1
  4.80e-3         4.206698e-8     4.91263e-6       #dY:11678.1
  4.90e-3         4.250191e-8     4.96342e-6       #dY:11678.1
  5.00e-3         4.293237e-8     5.01369e-6       #dY:11678.1
  5.10e-3         4.33585e-8      5.06345e-6       #dY:11678.1
  5.20e-3         4.378045e-8     5.11273e-6       #dY:11678.1
  5.30e-3         4.419827e-8     5.16152e-6       #dY:11678.1
  5.40e-3         4.461217e-8     5.20986e-6       #dY:11678.1
  5.50e-3         4.502219e-8     5.25774e-6       #dY:11678.1
  5.60e-3         4.542848e-8     5.30519e-6       #dY:11678.1
  5.70e-3         4.583107e-8     5.3522e-6        #dY:11678.1
  5.80e-3         4.623016e-8     5.39881e-6       #dY:11678.1
