#ZVView-data-copy::  16-Sep-2026 17:15:19
#=======================================
#
#name:   JEFF-4.0: PU-239(N,F) E_in=1.e-11 MeV
#X.axis: Energy
#Y.axis: 
#wdata:  3
#ldata:  642
#data...
# X               Y               +-dY           
# MeV             1/eV            1/eV           
  0.00            0.00            0.00                        
  8.80e-4         1.802464e-8     3.98637e-10      #dY:2.2%   
  8.90e-4         1.812675e-8     4.00895e-10      #dY:2.2%   
  9.00e-4         1.82283e-8      4.03141e-10      #dY:2.2%   
  9.10e-4         1.832926e-8     4.05374e-10      #dY:2.2%   
  9.20e-4         1.842964e-8     4.07594e-10      #dY:2.2%   
  9.30e-4         1.852954e-8     4.09803e-10      #dY:2.2%   
  9.40e-4         1.862893e-8     4.12001e-10      #dY:2.2%   
  9.50e-4         1.872772e-8     4.14186e-10      #dY:2.2%   
  9.60e-4         1.882602e-8     4.1636e-10       #dY:2.2%   
  9.70e-4         1.892381e-8     4.18523e-10      #dY:2.2%   
  9.80e-4         1.902109e-8     4.20674e-10      #dY:2.2%   
  9.90e-4         1.911786e-8     4.22815e-10      #dY:2.2%   
  1.00e-3         1.921417e-8     4.24945e-10      #dY:2.2%   
  1.10e-3         2.015183e-8     4.45693e-10      #dY:2.2%   
  1.20e-3         2.104769e-8     4.65507e-10      #dY:2.2%   
  1.30e-3         2.190687e-8     4.84509e-10      #dY:2.2%   
  1.40e-3         2.273363e-8     5.02794e-10      #dY:2.2%   
  1.50e-3         2.353126e-8     5.20435e-10      #dY:2.2%   
  1.60e-3         2.430271e-8     5.37497e-10      #dY:2.2%   
  1.70e-3         2.50503e-8      5.54032e-10      #dY:2.2%   
  1.80e-3         2.577616e-8     5.70085e-10      #dY:2.2%   
  1.90e-3         2.648209e-8     5.85698e-10      #dY:2.2%   
  2.00e-3         2.716966e-8     6.00905e-10      #dY:2.2%   
  2.10e-3         2.784012e-8     6.15865e-10      #dY:2.2%   
  2.20e-3         2.849483e-8     6.30348e-10      #dY:2.2%   
  2.30e-3         2.913476e-8     6.44505e-10      #dY:2.2%   
  2.40e-3         2.976089e-8     6.58355e-10      #dY:2.2%   
  2.50e-3         3.037407e-8     6.7192e-10       #dY:2.2%   
  2.60e-3         3.097499e-8     6.85213e-10      #dY:2.2%   
  2.70e-3         3.156447e-8     6.98253e-10      #dY:2.2%   
  2.80e-3         3.214307e-8     7.11053e-10      #dY:2.2%   
  2.90e-3         3.271139e-8     7.23625e-10      #dY:2.2%   
  3.00e-3         3.326999e-8     7.35982e-10      #dY:2.2%   
  3.10e-3         3.381927e-8     7.48133e-10      #dY:2.2%   
  3.20e-3         3.435972e-8     7.60088e-10      #dY:2.2%   
  3.30e-3         3.489176e-8     7.71858e-10      #dY:2.2%   
  3.40e-3         3.541579e-8     7.8345e-10       #dY:2.2%   
  3.50e-3         3.593207e-8     7.94871e-10      #dY:2.2%   
  3.60e-3         3.644103e-8     8.0613e-10       #dY:2.2%   
  3.70e-3         3.694283e-8     8.17231e-10      #dY:2.2%   
  3.80e-3         3.743797e-8     8.28184e-10      #dY:2.2%   
  3.90e-3         3.792655e-8     8.38992e-10      #dY:2.2%   
  4.00e-3         3.84089e-8      8.49662e-10      #dY:2.2%   
  4.10e-3         3.888516e-8     8.60464e-10      #dY:2.2%   
  4.20e-3         3.935564e-8     8.70875e-10      #dY:2.2%   
  4.30e-3         3.982048e-8     8.81161e-10      #dY:2.2%   
  4.40e-3         4.02799e-8      8.91328e-10      #dY:2.2%   
  4.50e-3         4.073411e-8     9.01379e-10      #dY:2.2%   
  4.60e-3         4.118328e-8     9.11318e-10      #dY:2.2%   
  4.70e-3         4.162753e-8     9.21148e-10      #dY:2.2%   
  4.80e-3         4.206698e-8     9.30873e-10      #dY:2.2%   
  4.90e-3         4.250191e-8     9.40497e-10      #dY:2.2%   
  5.00e-3         4.293237e-8     9.50022e-10      #dY:2.2%   
  5.10e-3         4.33585e-8      9.59452e-10      #dY:2.2%   
  5.20e-3         4.378045e-8     9.68789e-10      #dY:2.2%   
  5.30e-3         4.419827e-8     9.78035e-10      #dY:2.2%   
  5.40e-3         4.461217e-8     9.87194e-10      #dY:2.2%   
  5.50e-3         4.502219e-8     9.96267e-10      #dY:2.2%   
  5.60e-3         4.542848e-8     1.00526e-9       #dY:2.2%   
  5.70e-3         4.583107e-8     1.01417e-9       #dY:2.2%   
  5.80e-3         4.623016e-8     1.023e-9         #dY:2.2%   
  5.90e-3         4.662578e-8     1.03175e-9       #dY:2.2%   
  6.00e-3         4.701801e-8     1.04043e-9       #dY:2.2%   
  6.10e-3         4.740694e-8     1.04965e-9       #dY:2.2%   
  6.20e-3         4.779268e-8     1.05819e-9       #dY:2.2%   
  6.30e-3         4.817525e-8     1.06666e-9       #dY:2.2%   
  6.40e-3         4.855481e-8     1.07507e-9       #dY:2.2%   
  6.50e-3         4.893134e-8     1.0834e-9        #dY:2.2%   
  6.60e-3         4.930496e-8     1.09168e-9       #dY:2.2%   
  6.70e-3         4.967575e-8     1.09989e-9       #dY:2.2%   
  6.80e-3         5.004369e-8     1.10803e-9       #dY:2.2%   
  6.90e-3         5.040894e-8     1.11612e-9       #dY:2.2%   
  7.00e-3         5.077153e-8     1.12415e-9       #dY:2.2%   
  7.10e-3         5.113153e-8     1.13212e-9       #dY:2.2%   
  7.20e-3         5.14889e-8      1.14003e-9       #dY:2.2%   
  7.30e-3         5.18438e-8      1.14789e-9       #dY:2.2%   
  7.40e-3         5.219624e-8     1.15569e-9       #dY:2.2%   
  7.50e-3         5.254629e-8     1.16344e-9       #dY:2.2%   
  7.60e-3         5.289398e-8     1.17114e-9       #dY:2.2%   
  7.70e-3         5.323938e-8     1.17879e-9       #dY:2.2%   
  7.80e-3         5.35825e-8      1.18639e-9       #dY:2.2%   
  7.90e-3         5.392338e-8     1.19394e-9       #dY:2.2%   
  8.00e-3         5.426212e-8     1.20144e-9       #dY:2.2%   
  8.10e-3         5.459873e-8     1.20972e-9       #dY:2.2%   
  8.20e-3         5.493321e-8     1.21713e-9       #dY:2.2%   
  8.30e-3         5.526562e-8     1.2245e-9        #dY:2.2%   
  8.40e-3         5.559603e-8     1.23182e-9       #dY:2.2%   
  8.50e-3         5.592444e-8     1.23909e-9       #dY:2.2%   
